masa [kg];kw. Cytrynowy [kg];woda [kg];pH start;pH koniec
12600;100;915;11,72;6,2
12600;100;860;11,78;6,07
8600;94;700;12,05;6,14
12600;113;945;11,83;6,32
7400;69;535;11,5;5,41
8600;69;715;11,41;5,71
12600;94;800;11,53;6,08
12600;100;850;11,68;5,89
12600;94;820;11,57;6,17
8600;81;610;11,75;5,63
12600;113;1020;11,93;6,17
7400;69;500;11,64;5,59
12600;100;790;11,79;6,34
12600;107;840;11,79;6,83
7400;63;530;11,76;6,04
12600;106;770;11,66;5,75
8600;69;570;11,78;6,31
8600;69;600;11,65;5,48
12600;94;620;11,69;6,15
12600;100;980;11,74;6,04
8600;75;600;11,77;6,47
12600;107;900;11,72;6,36
8600;75;650;11,58;5,98
12600;100;900;11,64;5,96
8600;75;600;11,68;5,54
12600;100;1000;11,6;5,85
12600;107;1010;11,8;6,49
12600;106;970;11,7;6,18
12600;94;800;11,65;5,82
8600;75;600;11,68;6,07
7400;63;700;11,94;6,23
8600;75;640;11,78;6,2
12600;94;780;11,68;6,19
8600;75;610;11,77;6,13
8600;69;410;11,42;5,29
12600;100;880;11,78;6,37
7400;88;590;12,06;6,46
7400;100;610;11,84;5,53
7400;63;580;11,91;6,5
12600;106;860;11,74;5,51
8600;75;650;11,86;6,07
12600;88;700;11,58;5,74
8600;69;600;11,64;6,2
12600;106;990;11,74;5,93
12600;100;610;11,84;6,3
